"ID","Name","Category","Description","ExampleModule"
"PT-017","Severity color-coding in error logs","Usability","Color-code the Severity cell in ErrorLog: FATAL=dark red/white bold, ERROR=light red/dark red bold, WARN=light yellow/amber, INFO=light green/dark green. Makes severity scannable at a glance.","KernelConfig.LogError"
"PT-018","Required-tab fallback in bootstrap","Reliability","After processing tab_registry entries, explicitly EnsureSheet for all kernel-required tabs (Inputs, Dashboard, Detail, Summary, ErrorLog). Guarantees structural integrity even with empty or partial config.","KernelBootstrap.CreateTabsFromRegistry"
"PT-019","FileSystemObject for directory iteration","Reliability","Use FileSystemObject instead of nested Dir() calls for directory listing. Nested Dir() calls reset the outer iteration, causing only the first match to be found. FSO maintains independent enumeration state.","KernelSnapshot.ListSnapshots"
"PT-020","Programmatic UserForm creation","Architecture","Create UserForms programmatically during bootstrap via VBProject.VBComponents.Add(3). Forms are saved into the .xlsm permanently. Use helper functions (AddButton, AddListBox, AddLabel) for consistent layout. Insert code via CodeModule.InsertLines.","KernelFormSetup.CreateSnapshotExplorer"
"PT-021","Input hash staleness detection","Reliability","Hash all input values to detect when inputs change after a run. Compare current hash to stored hash before snapshot save. Warn user if results may be stale. Uses SHA256 via PowerShell for deterministic hashing.","KernelFormHelpers.BuildInputHash"
"PT-022","Explicit fixture restore in domain tests","Testing","Domain test suites that modify inputs must explicitly restore all per-entity fixture values at the end of RunAllTests, ensuring repeatable runs without re-bootstrap.","SampleDomainTests.RunAllTests"
"PT-023","Dual-source lint scanning (disk + VBA project)","Observability","Lint scans .bas files on disk for file-level checks (CRLF, module size) AND live VBA project modules for code-content checks (non-ASCII, magic numbers, etc). VBA scan catches edits made in the VBA editor that haven't been exported to disk. Results prefixed with [VBA] to distinguish source. Requires Trust access to VBA project object model; silently degrades if unavailable.","KernelLint.LintVBAModules"
"PT-024","Formula-driven exhibits (SUMIFS + cell-ref derived)","Output","Exhibit tables use SUMIFS formulas for Incremental metrics and cell-reference arithmetic for Derived metrics, matching the Summary tab pattern. GroupBy Period uses entity+period SUMIFS; GroupBy Entity uses entity-only SUMIFS. Total rows use SUM of data range. FillExhDerivedRow writes derived formulas using operand columns within the same exhibit row.","KernelTabs.GenerateExhibits"
"PT-025","Run-level error counters with consolidated alert","Observability","LogError increments m_runFatalCount/m_runErrorCount for FATAL/ERROR entries. Pipeline entry points (RunProjections, ResumeFrom) reset counters at start and check at end. If errors occurred, completion MsgBox changes from vbInformation to vbExclamation with count and ErrorLog pointer. Avoids per-error MsgBox noise while ensuring user sees issues.","KernelConfig.LogError + KernelEngine.RunProjections"
"PT-026","Dashboard status indicator with dynamic button label","Usability","Display mode shown in Dashboard row 2 with color coding (blue=Incremental, green=Cumulative). Toggle button caption dynamically reflects target mode (Switch to Cumulative / Switch to Incremental). UpdateDashboardMode finds button by OnAction property and updates TextFrame.Characters.Text. Called from ToggleDisplayMode, RefreshAllPresentations, and bootstrap.","KernelTabs.UpdateDashboardMode"
"PT-027","Silent flag for pipeline vs UI entry points","Architecture","Module-level m_silent Boolean flag differentiates pipeline calls (silent, no MsgBox) from user-initiated button clicks (MsgBox feedback per AP-53). Pipeline wrapper sets m_silent=True before calling core functions. UI wrapper leaves m_silent=False. All MsgBox calls guarded with If Not m_silent. Avoids cluttering pipeline with dialog popups while satisfying AP-53 for user actions.","KernelFormula.RefreshFormulaTabs + RefreshFormulaTabsUI"
"PT-028","Automated validation via Tier 5 smoke tests","Testing","Validation gate checks that have deterministic expected values are implemented as Tier 5 smoke tests in KernelTests.RunSmokeTests. Claude Online tags spec gates [AUTO] or [MANUAL]. Claude Code implements [AUTO] as smoke tests. Walkthrough only includes [MANUAL] steps plus RunTests. Reduces validation time ~50% and prevents regression in verified functionality. Smoke test helpers: SmokeCheckModule, SmokeCheckConfigSection, SmokeCheckEqual, SmokeCheckClose, SmokeCheckTrue, SmokeCheckTabExists.","KernelTests.RunSmokeTests"
"PT-029","PrintCommunication batching for PageSetup","Performance","Wrap PageSetup property changes in Application.PrintCommunication = False / True. Each PageSetup property triggers a printer driver round-trip; batching eliminates per-property overhead. Use On Error Resume Next around the assignment since PrintCommunication was introduced in Excel 2010. Always restore to True in both normal exit and error handler.","KernelPrint.ConfigurePrintSettings"
"PT-030","ScreenUpdating guard for multi-sheet operations","Performance","Any operation that creates, deletes, selects, or modifies multiple sheets must set Application.ScreenUpdating = False at entry and True at exit (including error handler). Prevents visual flicker and eliminates render overhead. Especially critical for report generation, tab creation, and PDF export paths.","Ext_ReportGen.GenerateReport"
"PT-031","Conditional module import from config","Architecture","Bootstrap reads DomainModule from granularity_config.csv and imports only the VBA modules needed for the active domain engine. Unused domain and companion modules are skipped, reducing VBA project size and avoiding dual-project crashes with PERSONAL.XLSB. Unknown or missing DomainModule falls back to importing all modules. Skip list is maintained per domain engine in Bootstrap.ps1.","Bootstrap.ps1 Step 2"
"PT-032","Self-contained tab with on-tab mirror boundary","Architecture","A tab that consumes values from multiple other tabs can isolate itself by placing a 'Source Data Mirrors' block at the top: each upstream value is mirrored into an on-tab cell via ={REF:Tab!RowID} or an absolute reference, and all downstream formulas reference the mirror RowIDs only. Users can override any mirror cell per quarter by typing over the live-link formula; Excel's inconsistent-formula green-corner indicator flags the override. Combine with a reconciliation strip that sums mirrors vs source total. Produces an auditable, self-sufficient tab that can be sensitivity-tested without rerunning the model.","RBC Capital Model (formula_tab_config.csv rows 40+)"
"PT-033","Hybrid xlsm + CSV workspace persistence","Architecture","Every workspace save produces both (a) the usual CSV export artifacts for audit/diff/fallback and (b) a timestamped SaveCopyAs xlsm snapshot. The xlsm is the perfect-fidelity backup (every cell, every override). CSVs remain the canonical text-diffable record and the fallback rebuild path when the xlsm is stale or corrupt. Load-path gating uses manifest.configHash + manifest.kernelVersion to decide whether the xlsm is safe to open side-by-side. Neither artifact is redundant.","KernelWorkspaceExt.SaveXlsmSnapshot, CheckFastPathEligible"
"PT-034","Preserved cells capture for Input cells on Output-category tabs","Architecture","An Output-category tab may legitimately carry Input-type cells the user edits (RBC LOB factors, Program-to-LOB mapping, NAIC charges). These are not captured by the standard input_tabs/ pipeline. Declare them in preserved_cells_config.csv (TabName,Address,RowID,Note). On workspace save, capture each range to preserved_cells.csv. On workspace load, restore AFTER RefreshFormulaTabs so default-seeded values are overwritten with user edits. Tab must set tab_registry.InputSurface = PRESERVED_CELLS; KernelLint.AssertCoverageComplete fails bootstrap if a tab has Input cells without coverage declaration.","KernelWorkspaceExt.CapturePreservedCells, RestorePreservedCells, AssertCoverageComplete"
