"ID","Description","RootCause","Fix","AntiPattern","Phase","DateFixed"
"BUG-011","Optional parameter default referenced cross-module Public Const","4 functions in KernelCompare.bas used Optional threshold As Double = COMPARE_DEFAULT_THRESHOLD. VBA does not allow cross-module constant references as Optional defaults.","Replaced COMPARE_DEFAULT_THRESHOLD with literal 0.000001 in all 4 function signatures.","AP-06 (adjacent)","Phase 2 Validation","2026-03-22"
"BUG-012","PRNG seed overwritten by RunProjections in AUTO mode","InitializePRNG always called AutoSeed when DeterministicMode=AUTO and DefaultSeed=0, even if user had manually set a seed via KernelRandom.InitSeed.","Added KernelRandom.IsInitialized check in AUTO branch; keeps existing seed if already initialized.","AP-45","Phase 2 Validation","2026-03-22"
"BUG-013","ShowScenarios only showed 1 scenario (ListScenarios/ListSavepoints Dir bug)","Nested Dir() calls (checking metadata.json inside a Dir folder loop) reset the outer iteration. Only the first matching folder was found.","Replaced nested Dir() with FileSystemObject in both ListScenarios and ListSavepoints.","(new pattern)","Phase 2 Validation","2026-03-22"
"BUG-014","RestoreSavepoint crashed with Subscript out of range","Config arrays not loaded when RestoreSavepoint called standalone. GetColumnCount() returned 0, causing ReDim with invalid bounds.","Added KernelConfig.LoadAllConfig at start of RestoreSavepoint and LoadScenario.","AP-45","Phase 2 Validation","2026-03-22"
"BUG-015","ArchiveSavepoint failed with Path/File access error on re-archive","Archive destination already had read-only files from a prior archive. FileCopy cannot overwrite read-only files.","Added pre-archive cleanup: detect existing archive folder, clear read-only, delete before copying.","(new pattern)","Phase 2 Validation","2026-03-22"
"BUG-016","Bootstrap.ps1 failed with COM error 80080005 when COM add-ins active","COM add-ins (e.g. S&P Capital IQ) interfere with programmatic Excel startup via New-Object -ComObject.","Launch Excel with /automation flag to suppress add-in loading during bootstrap.","AP-48","Phase 2 Validation","2026-03-22"
"BUG-017","S&P Capital IQ COM add-in permanently broken after Setup.bat","Three-link failure chain: (1) Zombie Excel kill (BUG-004 fix) interrupted S&P encrypted storage mid-write, corrupting DPAPI-encrypted IsolatedStorage in %APPDATA%\Roaming\IsolatedStorage. (2) /automation flag launch + $excel.Quit() caused Excel to write incomplete HKCU registry stubs (LoadBehavior=2, no Manifest) that override correct HKLM entries. (3) Failed S&P auto-update (MSI) on 2026-03-21 ran while Excel was open, compounding the issue. The CryptographicException (Padding is invalid) in StorageFolderProvider.GetDictionary prevented add-in initialization.","1) Clear corrupted Roaming IsolatedStorage: %APPDATA%\IsolatedStorage\Publisher.rzts3tkwo03sjqp1f4dfa2tfj1uydzrp. 2) Delete HKCU stubs at HKCU\Software\Microsoft\Office\Excel\Addins\SNL.Clients.Office.Excel.ExcelAddIn and SPGMI.ExcelShell so complete HKLM entries take effect. 3) Updated Bootstrap.ps1 to snapshot/restore HKCU state and delete stubs created by /automation in the finally block. 4) Created Repair-ComAddins.ps1 and Toggle-ComAddins.ps1 scripts.","AP-54","Phase 2 Validation","2026-03-23"
"BUG-018","Domain tests DOM-003 and DOM-004 fail: entities B and C return entity A Revenue","SetupTestInputs wrote InputSchema defaults (single value per parameter matching entity A) to ALL entities, overwriting per-entity fixture values set by PopulateSampleData at bootstrap.","Removed default-writing loop from SetupTestInputs; function now only applies explicit overrides. Added explicit per-entity fixture restore in SampleDomainTests.","AP-55","Phase 3 Validation","2026-03-23"
"BUG-019","RunLint fails with Engine directory not found","KernelLint/KernelDiagnostic/KernelHealth used ThisWorkbook.Path & \\engine but workbook lives in workbook/ subdirectory so engine/ is at project root one level up","Changed all engine path references to ThisWorkbook.Path & \\..\engine in KernelLint, KernelDiagnostic, and KernelHealth","AP-22","Phase 4 Validation","2026-03-23"
"BUG-020","LINT-03 only caught magic numbers in outputs() pattern, not col* = <number>","CheckMagicNumbers only looked for outputs(entity, <number>) pattern. Direct column variable assignments like colRevenue = 5 were missed.","Added MatchesColAssignmentMagic() to detect col<Name> = <number> assignments without ColIndex()","AP-08","Phase 4 Validation","2026-03-24"
"BUG-021","LINT-01 and LINT-12 unreliable for non-ASCII and CRLF detection","CheckNonASCII and CheckCRLF operated on StrConv-converted string. StrConv(rawBytes, vbUnicode) codepage conversion could remap or lose byte values.","Rewrote both checks to scan raw byte array directly (rawBytes(i) > 127 for non-ASCII, byte 10 not preceded by byte 13 for CRLF)","AP-06","Phase 4 Validation","2026-03-24"
"BUG-022","MODULE_SIZE_WARN threshold too high to catch documented 51KB modules","MODULE_SIZE_WARN=51200 (50 KiB) but KernelConfig (51130 bytes) and KernelSnapshot (51191 bytes) were 70 and 9 bytes under threshold respectively","Lowered MODULE_SIZE_WARN from 51200 to 50000 bytes in KernelConstants.bas","(threshold calibration)","Phase 4 Validation","2026-03-24"
"BUG-023","MatchesMagicNumberPattern infinite loop when output() exists but pattern does not match","Fallback search used InStr(1, ...) hardcoded to position 1 instead of InStr(pos, ...). When output( existed but had no numeric after comma, loop restarted from position 1 forever.","Changed fallback InStr(1, lnLower, ""output("") to InStr(pos, lnLower, ""output("") so search advances past each match","(new pattern)","Phase 4 Validation","2026-03-24"
"BUG-024","KernelDiagnostic ByRef type mismatch in BuildConfigSummary","GetFieldClass(cidx) passed Long cidx where GetFieldClass expects metricName As String parameter","Changed to GetFieldClass(colName) where colName = GetColName(cidx) resolves the name first","AP-06 (adjacent: API mismatch)","Phase 4 Validation","2026-03-24"
"BUG-025","Bootstrap.ps1 closes Excel without prompting user to save other workbooks","DisplayAlerts=$false set during automation was never restored before $excel.Quit() in finally block. Any other open workbooks with unsaved changes were silently closed.","Added $excel.DisplayAlerts=$true and $excel.Visible=$true before $excel.Quit() in finally block so Excel shows native save prompts","AP-54 (adjacent)","Phase 4 Validation","2026-03-24"
"BUG-026","Exhibits tab used hardcoded computed values instead of formulas","GenerateExhibits wrote .Value = val for all data cells. Unlike Summary (SUMIFS), exhibit values were static and did not update when Detail changed.","Rewrote GenerateExhibits to use SUMIFS formulas for Incremental metrics and cell-reference formulas (e.g., =IFERROR(D5/B5,0)) for Derived metrics. Removed 5 helper functions (LookupDetailValue, RecomputeDerived, FindMetricTotal, FillExhibitDerived, SumEntityMetric), replaced with FillExhDerivedRow and FindExhMetIdx.","AP-59 (new)","Phase 5A Validation","2026-03-24"
"BUG-027","ProveIt tab had orphan red cell one row past last data row","ApplyProveItFormatting received piRow after a blank-row increment. Empty cell at row N+1 matched FALSE conditional format (empty=0=FALSE in Excel).","Removed blank-row gap (piRow=piRow+1) before AND summary. AND formula now references E5:E(piRow-1). Formatting range no longer includes empty row.","(off-by-one)","Phase 5A Validation","2026-03-24"
"BUG-028","Chart generation silently skipped charts with invalid metrics (AP-46 violation)","GenerateCharts had If metricCol < 1 Then GoTo NextChart with no error logging or user feedback.","Added chartsSkipped counter, LogError SEV_ERROR E-521 with manual bypass instructions per skipped chart, and consolidated MsgBox showing skip count.","AP-46","Phase 5A Validation","2026-03-24"
"BUG-029","KernelTests.bas LINT-03 false positive on colCount variable","Variable name colCount matched lint scanner MatchesColAssignmentMagic() pattern for col* = <number>. colCount = 0 flagged as magic number.","Renamed colCount to numCols in LoadCsvToArray function (5 locations).","AP-08 (lint false positive)","Phase 5A Validation","2026-03-24"
"BUG-030","Exhibit tab applied blanket format overriding per-metric formats","exhibit_config.csv Format column (#,##0) applied to ALL metric columns including GPMargin which needs 0.0%. Single format per exhibit, not per metric.","Built per-metric format array (summary_config -> column_registry -> exhibit fallback) and applied per-column NumberFormat at all 4 formatting sites.","(format override)","Phase 5A Validation","2026-03-24"
"BUG-031","config_sample/chart_registry.csv left with FakeMetric from Gate 14 test","User edited MetricName to FakeMetric for validation gate testing but change was in config_sample/ source file, not just runtime config/.","Restored MetricName to Revenue in both config_sample/ and config/ chart_registry.csv.","AP-60 (new)","Phase 5A Validation","2026-03-24"
"BUG-032","Pipeline completion MsgBox showed success even with FATAL/ERROR entries logged","RunProjections MsgBox always showed vbInformation regardless of errors logged during the run. User had to manually check ErrorLog.","Added run-level error counters (m_runFatalCount, m_runErrorCount) to KernelConfig.LogError. RunProjections and ResumeFrom reset counters at start, check at end, show vbExclamation with error summary if any FATAL/ERROR logged.","AP-53 (enhancement)","Phase 5A Validation","2026-03-24"
"BUG-033","No visible display mode indicator on Dashboard","Users could not tell if workbook was in Incremental or Cumulative mode without checking Config sheet or Summary metadata row.","Added row 2 status cell on Dashboard (color-coded: blue=Incremental, green=Cumulative). Toggle button caption dynamically shows Switch to Incremental/Cumulative. UpdateDashboardMode called from ToggleDisplayMode, RefreshAllPresentations, and bootstrap.","(usability)","Phase 5A Validation","2026-03-24"
"BUG-034","Transform E-700: Cannot run the macro SampleDomainEngine.ApplyLoading","Application.Run cannot pass VBA arrays as parameters. RunTransforms passed outputs() to Application.Run which fails with error 1004.","Added Public TransformOutputs handoff variable. Transforms access KernelTransform.TransformOutputs directly (no parameter). Caller copies in before and out after.","(VBA Application.Run limitation)","Phase 5B Validation","2026-03-25"
"BUG-035","VBA project contained duplicate SampleDomainEngine1 module after Setup","SampleDomainTests.bas had incorrect VB_Name=SampleDomainEngine (same as SampleDomainEngine.bas). Both matched SampleDomain* import filter. VBA auto-renamed the second.","Deleted SampleDomainTests.bas (stale corrupt copy with syntax error on line 131).","AP-06 (file integrity)","Phase 5B Validation","2026-03-25"
"BUG-036","Personal.xlsb disabled after running Setup.bat","/automation flag suppresses XLSTART loading. On quit Excel may write DisabledItems registry entries preventing XLSTART items from loading next launch.","Added XLSTART protection to Bootstrap.ps1: snapshot DisabledItems key before launch, remove new entries in finally block.","AP-54 (extended)","Phase 5B Validation","2026-03-25"
"BUG-037","Named range config RowIDs mismatched AggregateToQuarterly output","AggregateToQuarterly generates RowIDs using Left(metricName, 4): Revenue->REVE, GrossProfit->GROS. Config had abbreviated forms QS_REV_TOTAL, QS_GP_TOTAL that did not match.","Fixed all RowIDs in named_range_registry.csv and formula_tab_config.csv to match generated pattern (QS_REVE_TOTAL, QS_GROS_TOTAL, QS_GPMA_TOTAL).","(config consistency)","Phase 5C Validation","2026-03-25"
"BUG-038","WriteCsvLineToRow did not force text format on Config sheet cells","Excel auto-converted format strings like 0.0% written without NumberFormat=@ to numeric value 0. LoadColumnRegistry then read CStr(0)=0 as format string, causing 0.4 to display as 0.","Changed WriteCsvLineToRow to ALWAYS set NumberFormat=@ before writing cell values on Config sheet.","AP-61 (new)","Phase 5C Validation","2026-03-25"
"BUG-039","WriteQuarterlyHeaders hardcoded row 2 wiped by merge","FS_BASIS config entry at row 2 with ColSpan=6 merged A2:F2, overwriting quarterly headers written to row 2.","Changed WriteQuarterlyHeaders to dynamically find first formula row and write headers one row above, AFTER config processing completes.","(layout timing)","Phase 5C Validation","2026-03-25"
"BUG-040","Annual total column used SUM for ratio metrics like GP Margin","CreateFormulaTabs used =SUM(Q1:Q4) for ALL formulas. Summing percentages (0.4+0.4+0.4+0.4=1.6) is incorrect; ratios must be recomputed from annual totals.","Changed annual total to use ResolveFormulaPlaceholders with annual column number instead of SUM for all formulas. Ratio formulas resolve correctly (e.g., =IFERROR(GrossProfit/Revenue,0)).","(formula semantics)","Phase 5C Validation","2026-03-25"
"BUG-041","AutoFit reset column Hidden state on formula tabs","ws.Columns.AutoFit was called after ws.Columns(FTAB_COL_ROWID).Hidden = True. AutoFit unhid the column.","Moved .Hidden = True to AFTER .Columns.AutoFit call.","AP-62 (new)","Phase 5C Validation","2026-03-25"
"BUG-042","GenerateInputsTab missing number format for Pct and Currency DataTypes","COGSPct (DataType=Pct) displayed as 0.6 instead of 60.0%. No format applied to entity input cells based on DataType.","Added format application in GenerateInputsTab: Pct -> 0.0%, Currency -> #,##0.00, applied to entity input cell range.","(format application)","Phase 5C Validation","2026-03-25"
"BUG-043","RefreshFormulaTabs pipeline call showed MsgBox during RunProjections","CreateFormulaTabs and CreateNamedRanges had unconditional MsgBox calls. Pipeline execution paused waiting for user to dismiss dialogs.","Added m_silent module-level flag. Pipeline callers set m_silent=True. Added RefreshFormulaTabsUI wrapper (m_silent=False) for dashboard button.","AP-53 (extended)","Phase 5C Validation","2026-03-25"
"BUG-044","Toggle display mode button caption did not update after toggling","Button caption set at bootstrap showed current mode but did not change when user toggled display mode.","Changed button to static caption Toggle Display Mode instead of dynamic state-based label.","(usability)","Phase 5C Validation","2026-03-25"
"BUG-045","Personal.xlsb not loading after running Setup.bat","Bootstrap.ps1 launches Excel with /automation flag which suppresses XLSTART loading. On $excel.Quit(), the /automation instance writes shutdown state that can suppress XLSTART items on next normal launch. Two compounding issues: (1) Start-Process PID was discarded so process kill was impossible, (2) Resiliency cleanup only scanned pre-snapshotted paths -- if Resiliency key did not exist before the script, newly created entries were never cleaned up.","Three fixes: (1) Capture /automation PID from Start-Process, (2) Kill process by PID instead of $excel.Quit() to prevent quit-cycle state writes, (3) Comprehensive post-cleanup scans ALL Office versions for DisabledItems regardless of pre-state.","AP-54","Phase 6A Validation","2026-03-26"
"BUG-046","PDF report cover page produces blank page 2","GenerateCoverPage did not set PrintArea, FitToPagesWide/Tall, or Orientation on the _ReportCover sheet. Excel defaulted to printing the full sheet area which spilled onto a second blank page.","Added PageSetup to GenerateCoverPage: PrintArea constrained to A1:F{lastRow}, FitToPagesWide=1, FitToPagesTall=1, Orientation=Portrait.","(print setup)","Phase 6A Validation","2026-03-26"
"BUG-047","Book counter increments across sessions (Book2, Book3...) and stale XLSTART lock file blocks Personal.xlsb","Two side effects of killing the /automation Excel process (BUG-045 fix): (1) Process kill leaves orphaned DocumentRecovery registry entries under Resiliency that cause Excel to offset the new workbook counter on next launch. (2) Process kill leaves ~$PERSONAL.XLSB owner/lock file in XLSTART from whatever session originally created it, blocking Personal.xlsb from loading on subsequent launches.","Added two post-cleanup steps to Bootstrap.ps1 finally block: (1) Clear all DocumentRecovery entries under Resiliency for all Office versions. (2) Remove stale ~$* lock files from XLSTART folder.","AP-54","Phase 6A Validation","2026-03-26"
"BUG-048","PDF report tabs exported with default PageSetup -- no landscape, no fit-to-page, no margins","Ext_ReportGen.ExportReportPDF never called KernelPrint.ConfigurePrintSettings before exporting. All tabs went to PDF with Portrait orientation, no fit-to-page, and default margins regardless of print_config.csv settings.","Added KernelPrint.ConfigurePrintSettings True call in ExportReportPDF before tab selection and export. Added Optional silent parameter to ConfigurePrintSettings to suppress MsgBox when called from pipeline/report paths. ExportPDF and PrintPreview also call with silent=True since they show their own result messages.","(integration gap)","Phase 6A Validation","2026-03-26"
"BUG-049","Compile error: Variable not defined in RunSmokeTests (CFG_MARKER_GRANULARITY, TAB_ERRORLOG)","Tier 5 smoke tests used incorrect constant names: CFG_MARKER_GRANULARITY (actual: CFG_MARKER_GRANULARITY_CONFIG) and TAB_ERRORLOG (actual: TAB_ERROR_LOG). VBA Option Explicit correctly caught these as undefined variables.","Fixed both references to use the correct constant names from KernelConstants.bas.","(cross-module constant reference)","Phase 6A Validation","2026-03-26"
"BUG-050","Setup.bat fails with Cannot run macro when Excel already running","GetActiveObject returns whichever Excel is first in the Running Object Table. If a prior failed Setup left a visible Excel process or the user had Excel open, GetActiveObject connected to that instance instead of the /automation one. The finally block killed only the /automation PID, orphaning the COM-connected instance. On next Setup run, the orphan survived the zombie kill (it had a visible window) and GetActiveObject connected to it again.","Three fixes: (1) Pre-check after zombie kill -- if any Excel processes still exist, exit with clear message asking user to close Excel. (2) Finally block kills ALL Excel processes (safe because pre-check guarantees none existed before script). (3) Removed S&P warning from zombie kill since headless process kill is low-risk.","AP-54","Phase 6A Validation","2026-03-26"
"BUG-051","Smoke tests SMK-030/031/032 fail -- extension registry not loaded","RunSmokeTests called KernelExtension.GetActiveExtensionCount() and IsExtensionActive() but LoadExtensionRegistry was never called. LoadAllConfig does not load the extension registry -- it is managed separately by KernelExtension.","Added KernelExtension.LoadExtensionRegistry call at the start of RunSmokeTests before extension checks.","(initialization gap)","Phase 6A Validation","2026-03-26"
"BUG-052","RunLint overwrites TestResults headers when run after RunTests","WriteLintResults inserted rows at top of TestResults sheet (row 1). This disrupted the merged RDK Test Results title cell at row 1 and pushed all test results down, causing visual corruption of headers.","Changed WriteLintResults to append at the bottom of existing content instead of inserting at the top. Uses ws.Cells(Rows.Count,1).End(xlUp).Row + 2 to find the append point with a spacer row.","(layout disruption)","Phase 6A Validation","2026-03-26"
"BUG-053","Walkthrough Step 6 tells user to run Setup option [1] after config edit, resetting their change","Step 6 (Extension Deactivation) instructed user to edit config_sample/ and re-run Setup option [1]. Users naturally edit config/ instead (the runtime copy). Option [1] deletes config/ and re-copies from config_sample/, silently discarding any config/ edits. Even editing config_sample as instructed is fragile and non-obvious.","Changed Step 6 to use Setup option [3] (rebuild workbook only, keep config) and edit config/ (the runtime copy). Added callout box warning that option [1] resets config from config_sample.","(walkthrough error)","Phase 6A Validation","2026-03-26"
"BUG-054","MsgBox 'Created 1 formula-driven tab' fires during Setup/bootstrap","KernelBootstrap step 9d calls KernelFormula.CreateFormulaTabs directly. CreateFormulaTabs uses module-level m_silent flag to gate MsgBox, but m_silent defaults to False. Only RefreshFormulaTabs (pipeline path) set m_silent=True before calling. Bootstrap never set the flag, so the MsgBox fired on every setup.","Added Optional silent parameter to CreateFormulaTabs and CreateNamedRanges. Bootstrap now calls CreateFormulaTabs True. The silent parameter ORs with m_silent so both pipeline and bootstrap paths are silent. Audited all bootstrap sub-calls -- no other MsgBox paths are reachable.","AP-53","Phase 6A Validation","2026-03-26"
"BUG-055","InsuranceDomainEngine not imported -- RunProjections FATAL E-299 at step 1 with blank error","Bootstrap.ps1 line 179 filter only matched Kernel*, SampleDomain*, and Ext_*. InsuranceDomainEngine.bas starts with Insurance so it was never imported into the VBA project. Application.Run InsuranceDomainEngine.Initialize failed with empty Err.Description because the module did not exist.","Changed Bootstrap.ps1 filter from SampleDomain* to *DomainEngine* so all domain engines (Sample, Insurance, future) are imported. Also matches DomainEngine.bas stub.","(import filter gap)","Phase 11A","2026-03-26"
"BUG-056","UW Inputs tab cleared on every model run -- user loses entered data","KernelFormula.RefreshFormulaTabs (called from KernelEngine pipeline steps 4 and 6) calls CreateFormulaTabs which does ws.Cells.ClearContents on every formula tab including UW Inputs. This wiped user-entered premium, loss, and reinsurance inputs on every run.","Added m_preserveOnRefresh module-level flag to KernelFormula. RefreshFormulaTabs sets flag True before calling CreateFormulaTabs, resets after. CreateFormulaTabs skips ClearContents when flag is True, preserving user input data across runs.","AP-45","Phase 11A","2026-03-26"
"BUG-057","UW Inputs tab stops at row 32 -- Check formula CSV quoting breaks ParseCsvLine","Check formulas in formula_tab_config.csv used 3-quote sequences to encode literal double-quotes inside Excel formula strings (Pass/FAIL). ParseCsvLine reads 3-quote as: escaped-quote + field-terminator. Content truncated to partial formula, subsequent fields misaligned, NumberFormat set from garbage (E-800), ErrHandler aborted CreateFormulaTabs so all rows after 32 never written.","Changed all 3-quote sequences to 2-quote (correct RFC 4180 encoding) across 30 Check formula rows. Each literal double-quote in the formula is now encoded as 2-quote inside the CSV quoted field.","AP-06","Phase 11A","2026-03-26"
"BUG-058","Screen flash when typing in UW Inputs for the first time after workbook open","Two causes: (1) RunHealthCheckOnOpen runs LoadAllConfig (thousands of cell reads) and RunHealthCheck (writes to ErrorLog with formatting) without suppressing ScreenUpdating. (2) CreateFormulaTabs unconditionally sets Application.ScreenUpdating=True at all exit points. When called from pipeline via RefreshFormulaTabs (which expects ScreenUpdating=False), this prematurely enables screen updates. Then Application.CalculateFull runs visibly causing a flash.","(1) Added ScreenUpdating save/restore to RunHealthCheckOnOpen in KernelHealth.bas. (2) Changed CreateFormulaTabs in KernelFormula.bas to save ScreenUpdating state on entry and restore it at all 3 exit points (early-exit, normal-exit, ErrHandler) instead of unconditionally setting True.","AP-45","Phase 11A","2026-03-26"
"BUG-059","Losses and counts all zeros in Detail tab -- DevelopLosses skips all exposure months","Reset() cleared m_devEnd(p)=0 for all programs. DevelopLosses checks If age > m_devEnd(p) which is always True (age >= 1 > 0), so every exposure month is skipped. m_devEnd was set correctly by LoadCurveParams in Initialize, but Reset runs after Initialize and before Execute in the pipeline.","Removed m_devEnd(p) = 0 from Reset(). m_devEnd is a curve parameter set in LoadCurveParams (part of Initialize), not a computation value that should be cleared between runs.","AP-42","Phase 11A","2026-03-26"
"BUG-060","Curve library config not found -- 80x W-852 warnings, all curves use defaults","FindSectionStart in KernelConfigLoader scans rows 1-500 for config markers. formula_tab_config.csv grew to 1218 lines (golden test data), pushing CURVE_LIBRARY_CONFIG marker past row 500. Also GetCurveLibraryField had col<=10 bounds check instead of col<=16 for new anchor columns.","Changed FindSectionStart to use dynamic last row (ws.Cells(ws.Rows.Count,1).End(xlUp).Row) instead of hardcoded 500. Changed GetCurveLibraryField bounds check from col<=10 to col<=16.","AP-45","Phase 11A","2026-03-26"
"BUG-061","E-222 Cannot parse DerivationRule for identity copy columns (C_ClsCt etc.)","ComputeDerivedFields parser only supports A op B format. Ceded count columns (C_ClsCt, C_OpenCt, C_RptCt, C_UltCt) use single-column identity rules like G_ClsCt to copy gross counts to ceded.","Added identity/copy rule support to ComputeDerivedFields: if ParseDerivationRule fails, check if rule is a valid column name and copy values directly. Ceded counts now correctly equal gross counts.","(parser limitation)","Phase 11A","2026-03-26"
"BUG-062","E-120 Input parameter not found: Attributes.EntityName (40x errors)","Kernel modules (KernelOutput, KernelTabs, KernelProveIt) call InputValue(Attributes,EntityName,idx) for Summary/Charts/Exhibits. Insurance input_schema lacked this parameter. DetectEntityCount had a MaxEntities fallback but entity name retrieval did not.","Added Attributes.EntityName to insurance input_schema.csv (row 3). Added code in InsuranceDomainEngine.Initialize() to write program names from UW Inputs to the Inputs tab at row 3 for kernel consumption.","(config gap)","Phase 11A","2026-03-26"
"BUG-063","Runtime Error 9 on Sheets(TAB_INPUTS) -- insurance model uses Assumptions tab","BUG-062 fix hardcoded TAB_INPUTS (=Inputs) but insurance tab_registry names the kernel input tab Assumptions (configured via InputsTabName setting in granularity_config). KernelConfig.InputValue also hardcoded TAB_INPUTS.","Added KernelConfig.GetInputsTabName() helper that resolves InputsTabName setting with TAB_INPUTS fallback. Updated InputValue and InsuranceDomainEngine.Initialize() to use it.","AP-45","Phase 11A","2026-03-26"
"BUG-064","Named ranges point to wrong cells -- CTRL_TaxRate at C40 instead of C12","CreateNamedRanges SINGLE branch builds reference with row-relative addressing ($C12 instead of $C$12). When cellAddr is provided without RowID, code does $+UCase(cellAddr) which misses the $ before the row number. Row shifts based on active cell context at creation time.","Changed the direct cellAddr branch to use ws.Range(cellAddr).Address(True, True) which returns a fully absolute reference ($C$12). All 16 SINGLE-type named ranges affected.","AP-08","Phase 11A","2026-03-26"
"BUG-065","Premium never fully earns -- EP only reaches ~92% of WP","EarnPremium mid-month window was [m, m+term-1] (term months). First and last months each get 1/(2*term) but only term-2 middle months get 1/term. Fracs sum to (term-1)/term not 1.0. For term=12: 22/24=91.67%. Correct window is [m, m+term] (term+1 months): first half + (term-1) full middles + spill-over half = 1.0.","Changed loop from m+termMo-1 to m+termMo. Changed last-month check from ew=m+termMo-1 to ew=m+termMo. Removed m_horizon write guard (arrays sized to MAX_HORIZON=120 with Exit For guard). All EP-derived metrics (G_EComm, G_EFrontFee, C_EP, C_EComm) inherit the fix since they use m_epMon.","(off-by-one)","Phase 11A","2026-03-26"
"BUG-066","Screen flash when typing in UW Inputs tab","Merged cells (ColSpan=25) in frozen rows 1-2 span across the freeze pane column boundary at column C (col 3). Excel redraws frozen/unfrozen pane regions on every cell selection or edit when a merged cell straddles the boundary. UW Inputs has 7 cross-boundary merges (ColSpan 9-25). Freeze was set at (3, QS_DATA_START_COL=3) for all formula tabs regardless of layout type.","Changed KernelFormula.CreateFormulaTabs freeze logic: non-quarterly tabs (like UW Inputs) freeze at (3,1) for row-only freeze with no column boundary. Quarterly tabs (like UW Exec Summary) retain column freeze at (3, QS_DATA_START_COL) since they need horizontal scrolling and have no user-editable cells.","AP-55","Phase 11A","2026-03-26"
"BUG-067","FATAL crash at step 6: Column not found Period","ColIndex returns -1 on failure (not 0) and logs SEV_FATAL. All 6 Period/CalPeriod fallback checks used '= 0' so fallback never triggered. ColLetter(-1) then raised a runtime error crashing the pipeline at WriteSummaryFormulas.","Added TryColIndex to KernelConfig -- silent probe that returns -1 without logging. Updated all 6 fallback locations in KernelOutput, KernelCompare, KernelFormula, KernelTabs (x3) to use TryColIndex for probe, ColIndex for the fallback (which logs FATAL only if both names fail).","AP-08","Phase 11A","2026-03-26"
